ID,title,image_link,platform1,platform2,platform3,platform4,platform5,platform6,score
1410,Tales of Zestiria,https://upload.wikimedia.org/wikipedia/en/thumb/f/fc/Tales_of_Zestiria_JP_boxart.png/220px-Tales_of_Zestiria_JP_boxart.png,PS4\,PS3,na,na,na,na,0.004599486
1411,The Talos Principle,https://upload.wikimedia.org/wikipedia/en/thumb/9/91/The_Talos_Principle_logo.png/220px-The_Talos_Principle_logo.png,PS4\,XboxOne,na,na,na,na,0.004250158
1412,Team Sonic Racing,https://upload.wikimedia.org/wikipedia/en/thumb/d/dc/Team_Sonic_Racing_Cover.jpg/220px-Team_Sonic_Racing_Cover.jpg,PS4\,Switch\,XboxOne,na,na,na,0.014691184
1413,Tearaway Unfolded,https://upload.wikimedia.org/wikipedia/en/thumb/a/a3/Tearaway_Unfolded_Crafted_Edition_Box_Art_N.A.jpg/220px-Tearaway_Unfolded_Crafted_Edition_Box_Art_N.A.jpg,PS4,na,na,na,na,na,0.000747174
1414,The Technomancer,https://upload.wikimedia.org/wikipedia/en/thumb/2/2f/The_Technomancer_cover_art.jpg/220px-The_Technomancer_cover_art.jpg,PS4\,XboxOne,na,na,na,na,0.036456261
1415,Teenage Mutant Ninja Turtles: Mutants in Manhattan,https://upload.wikimedia.org/wikipedia/en/thumb/0/04/TMNT_Mutants_in_Manhattan_cover_art.png/220px-TMNT_Mutants_in_Manhattan_cover_art.png,PS4\,XboxOne,na,na,na,na,0.000106739
1416,Tekken 7,https://upload.wikimedia.org/wikipedia/en/thumb/1/17/Official_Tekken_7_Logo.jpg/220px-Official_Tekken_7_Logo.jpg,PS4\,XboxOne,na,na,na,na,0.011421086
1417,Tekken X Street Fighter,https://upload.wikimedia.org/wikipedia/en/thumb/9/9d/Tek_x_sf.jpg/220px-Tek_x_sf.jpg,PS4,na,na,na,na,na,0.004473339
1418,Tembo the Badass Elephant,https://upload.wikimedia.org/wikipedia/en/thumb/5/5e/Tembo_the_Badass_Elephant_cover_art.jpg/220px-Tembo_the_Badass_Elephant_cover_art.jpg,PS4\,XboxOne,na,na,na,na,0.001465237
1419,Tennis in the Face,unreleased,PS4\,PS3\,Switch\,XboxOne,na,na,0.038891854
1420,Tennis World Tour,https://upload.wikimedia.org/wikipedia/en/thumb/a/a7/Tennis_World_Tour.jpg/220px-Tennis_World_Tour.jpg,PS4\,Switch\,XboxOne,na,na,na,0.011712193
1421,The Tenth Line,unreleased,PS4,na,na,na,na,na,0.037630392
1422,Terraria,https://upload.wikimedia.org/wikipedia/en/thumb/4/42/TerrariaLogo2.png/220px-TerrariaLogo2.png,PS4\,PS3\,Switch\,WiiU\,XboxOne,na,0.041502111
1423,TerraTech,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8d/TerraTech_logo.png/220px-TerraTech_logo.png,PS4\,XboxOne,na,na,na,na,0.031303673
1424,Teslagrad,https://upload.wikimedia.org/wikipedia/en/thumb/0/0e/Teslagrad-Logo-550x82.png/220px-Teslagrad-Logo-550x82.png,PS4\,PS3\,PS3\,Switch\,WiiU\,XboxOne,0.003347727
1425,Tethered,unreleased,PS4,na,na,na,na,na,0.01740818
1426,Tetraminos,unreleased,PS4\,WiiU\,XboxOne,na,na,na,2.91E-05
1427,Tetris Effect,https://upload.wikimedia.org/wikipedia/en/thumb/6/6c/Tetris_Effect.png/220px-Tetris_Effect.png,PS4,na,na,na,na,na,0.086177284
1428,Tetris Ultimate,https://upload.wikimedia.org/wikipedia/en/thumb/0/0c/Tetris_Ultimate_cover_art.jpg/220px-Tetris_Ultimate_cover_art.jpg,PS4\,XboxOne,na,na,na,na,0.007190335
1429,Tharsis,unreleased,PS4,na,na,na,na,na,0.00215419
1430,That's You!,https://upload.wikimedia.org/wikipedia/en/thumb/2/21/That%27s_You%21_PS4_box-art_front_cover.png/220px-That%27s_You%21_PS4_box-art_front_cover.png,PS4,na,na,na,na,na,0.001028577
1431,Thea: The Awakening,unreleased,PS4\,XboxOne,na,na,na,na,0.004211343
1432,Thief,https://upload.wikimedia.org/wikipedia/en/thumb/0/02/Thief_box_art.jpg/220px-Thief_box_art.jpg,PS4\,PS3\,Xbox360\,XboxOne,na,na,0.007937509
1433,Thief Town,unreleased,PS4,na,na,na,na,na,0.145815341
1434,Thimbleweed Park,https://upload.wikimedia.org/wikipedia/en/thumb/2/2b/Thimbleweed_Park.png/220px-Thimbleweed_Park.png,PS4\,Switch\,XboxOne,na,na,na,0.005123478
1435,This Is the Police,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3b/This_Is_the_Police_logo_verical.png/220px-This_Is_the_Police_logo_verical.png,PS4\,Switch\,XboxOne,na,na,na,0.007704624
1436,This War of Mine: The Little Ones,https://upload.wikimedia.org/wikipedia/en/c/c1/This_War_of_Mine_logo.png,PS4\,XboxOne,na,na,na,na,0.029489108
1437,Thomas Was Alone,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2d/Thomas_was_alone_cover.png/220px-Thomas_was_alone_cover.png,PS4\,PS3\,WiiU\,XboxOne,na,na,0.028838969
1438,Thumper,https://upload.wikimedia.org/wikipedia/en/thumb/e/e5/Thumper_%28video_game%29.jpg/220px-Thumper_%28video_game%29.jpg,PS4\,Switch\,XboxOne,na,na,na,0.061753433
1439,Ticket to Ride,unreleased,PS4\,Xbox360,na,na,na,na,0.039231478
1440,Timothy vs. the Aliens,unreleased,PS4,na,na,na,na,na,0
1441,Tina's Toy Factory,unreleased,PS4,na,na,na,na,na,5.82E-05
1442,Tinertia,unreleased,PS4,na,na,na,na,na,0
1443,Tiny Brains,unreleased,PS4\,PS3,na,na,na,na,0.094017758
1444,Titan Attacks!,https://upload.wikimedia.org/wikipedia/en/thumb/8/8e/Titan_Attacks%21_Cover_Art.jpg/220px-Titan_Attacks%21_Cover_Art.jpg,PS4\,PS3,na,na,na,na,0.035020135
1445,Titan Souls,https://upload.wikimedia.org/wikipedia/en/thumb/0/0a/Titan_Souls_cover_art.png/220px-Titan_Souls_cover_art.png,PS4,na,na,na,na,na,0.034447625
1446,Titanfall 2,https://upload.wikimedia.org/wikipedia/en/thumb/1/13/Titanfall_2.jpg/220px-Titanfall_2.jpg,PS4\,XboxOne,na,na,na,na,0.009053418
1447,Toby: The Secret Mine,https://upload.wikimedia.org/wikipedia/en/thumb/2/28/Toby-secret_mine.png/220px-Toby-secret_mine.png,PS4\,Switch\,WiiU\,XboxOne,na,na,0.004900296
1448,ToeJam & Earl: Back in the Groove,https://upload.wikimedia.org/wikipedia/en/thumb/d/d4/ToeJam_%26_Earl_BitG_pre-release_Steam_header.jpg/220px-ToeJam_%26_Earl_BitG_pre-release_Steam_header.jpg,PS4\,Switch\,XboxOne,na,na,na,0.001717529
1449,Toki Tori 2+,https://upload.wikimedia.org/wikipedia/en/thumb/5/5c/Toki_Tori_2_logo.png/220px-Toki_Tori_2_logo.png,PS4\,Switch\,WiiU,na,na,na,0.001998933
1450,To Leave,unreleased,PS4,na,na,na,na,na,0.001833972
1451,Tokyo 42,https://upload.wikimedia.org/wikipedia/en/thumb/9/9b/Tokyo_42.png/220px-Tokyo_42.png,PS4\,XboxOne,na,na,na,na,0.002775217
1452,Tokyo Xanadu eX+,https://upload.wikimedia.org/wikipedia/en/thumb/6/68/Tokyo_Xanadu_cover.jpg/220px-Tokyo_Xanadu_cover.jpg,PS4,na,na,na,na,na,0.000892727
1453,Tomb Raider: Definitive Edition,https://upload.wikimedia.org/wikipedia/en/thumb/f/f1/TombRaider2013.jpg/220px-TombRaider2013.jpg,PS4\,XboxOne,na,na,na,na,0.001057688
1454,Tom Clancy's Ghost Recon Wildlands,https://upload.wikimedia.org/wikipedia/en/thumb/b/b9/Ghost_Recon_Wildlands_cover_art.jpg/220px-Ghost_Recon_Wildlands_cover_art.jpg,PS4\,XboxOne,na,na,na,na,0.015108437
1455,Tom Clancy's Rainbow Six: Siege,https://upload.wikimedia.org/wikipedia/en/thumb/4/47/Tom_Clancy%27s_Rainbow_Six_Siege_cover_art.jpg/220px-Tom_Clancy%27s_Rainbow_Six_Siege_cover_art.jpg,PS4,na,na,na,na,na,0.024443258
1456,Tom Clancy's The Division,https://upload.wikimedia.org/wikipedia/en/thumb/0/03/The_Division_box.jpg/220px-The_Division_box.jpg,PS4\,XboxOne,na,na,na,na,0.015807093
1457,Tom Clancy's The Division 2,https://upload.wikimedia.org/wikipedia/en/thumb/a/af/The_Division_2_art.jpg/220px-The_Division_2_art.jpg,PS4\,XboxOne,na,na,na,na,0.01552569
1458,Tony Hawk's Pro Skater 5,https://upload.wikimedia.org/wikipedia/en/thumb/e/ee/THPS5_Box_Art.png/220px-THPS5_Box_Art.png,PS4\,PS3\,Xbox360\,XboxOne,na,na,0.00390083
1459,Tooth and Tail,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ca/Tooth_and_Tail_logo.png/220px-Tooth_and_Tail_logo.png,PS4,na,na,na,na,na,0.002503518
1460,Toren,unreleased,PS4,na,na,na,na,na,0.005123478
1461,Torment: Tides of Numenera,https://upload.wikimedia.org/wikipedia/en/thumb/1/11/TormentToNcover.jpg/220px-TormentToNcover.jpg,PS4\,XboxOne,na,na,na,na,0.000970356
1462,TorqueL,unreleased,PS4\,WiiU,na,na,na,na,0.005773616
1463,Tottemo E Mahjong Plus,unreleased,PS4,na,na,na,na,na,0
1464,Toukiden 2,https://upload.wikimedia.org/wikipedia/en/thumb/3/37/Toukiden2_cover_art.jpg/220px-Toukiden2_cover_art.jpg,PS4\,PS3,na,na,na,na,0.003270098
1465,Toukiden: Kiwami,https://upload.wikimedia.org/wikipedia/en/thumb/d/d6/Toukiden_cover.jpg/220px-Toukiden_cover.jpg,PS4,na,na,na,na,na,0.001222648
1466,Tour de France 2018,unreleased,PS4\,XboxOne,na,na,na,na,0.009150454
1467,Tower 57,unreleased,PS4\,XboxOne,na,na,na,na,0.001630197
1468,Tower of Guns,https://upload.wikimedia.org/wikipedia/en/thumb/a/a3/Tower_of_Guns_Logo.png/256px-Tower_of_Guns_Logo.png,PS4\,XboxOne,na,na,na,na,0.052049876
1469,TowerFall Ascension,https://upload.wikimedia.org/wikipedia/en/thumb/e/e5/TowerFall_logo.png/220px-TowerFall_logo.png,PS4\,XboxOne,na,na,na,na,0.001523458
1470,The Town of Light,https://upload.wikimedia.org/wikipedia/en/thumb/6/66/The_Town_of_Light_cover_art.jpg/220px-The_Town_of_Light_cover_art.jpg,PS4\,XboxOne,na,na,na,na,0.018378536
1471,Toy Soldiers: War Chest,https://upload.wikimedia.org/wikipedia/en/thumb/0/02/Toy_Soldiers_War_Chest_cover_art.png/220px-Toy_Soldiers_War_Chest_cover_art.png,PS4\,XboxOne,na,na,na,na,0.001465237
1472,TrackMania Turbo,https://upload.wikimedia.org/wikipedia/en/thumb/7/7c/Trackmania_Turbo_cover_art.jpg/220px-Trackmania_Turbo_cover_art.jpg,PS4,na,na,na,na,na,0.002066858
1473,Train Sim World,unreleased,PS4\,XboxOne,na,na,na,na,0.017029741
1474,Train Sim World: Long Island Rail Road,unreleased,PS4,na,na,na,na,na,0.000834506
1475,Transformers: Devastation,https://upload.wikimedia.org/wikipedia/en/thumb/8/8c/Transformers_Devastation_cover_art.jpg/220px-Transformers_Devastation_cover_art.jpg,PS4\,PS3\,Xbox360\,XboxOne,na,na,0.000611324
1476,Transformers: Fall of Cybertron,https://upload.wikimedia.org/wikipedia/en/thumb/f/f0/Transformers%2C_Fall_of_Cybertron_PC_box_art.jpg/220px-Transformers%2C_Fall_of_Cybertron_PC_box_art.jpg,PS4\,PS3\,Xbox360\,XboxOne,na,na,0.001979525
1477,Transformers: Rise of the Dark Spark,https://upload.wikimedia.org/wikipedia/en/thumb/e/ec/Transfromersgame.png/220px-Transfromersgame.png,PS4\,PS3\,WiiU\,Xbox360\,XboxOne,na,0.000174664
1478,Transistor,https://upload.wikimedia.org/wikipedia/en/thumb/4/41/Transistor_art.jpg/220px-Transistor_art.jpg,PS4\,Switch,na,na,na,na,0.019183931
1479,Treadnauts,unreleased,PS4\,Switch,na,na,na,na,0.001067391
1480,Trials of the Blood Dragon,https://upload.wikimedia.org/wikipedia/en/thumb/9/97/Trials-Logo-Black.png/250px-Trials-Logo-Black.png,PS4\,XboxOne,na,na,na,na,0.017970986
1481,Trials Fusion,https://upload.wikimedia.org/wikipedia/en/thumb/4/43/Trials_Fusion_cover_art.jpg/220px-Trials_Fusion_cover_art.jpg,PS4\,Xbox360\,XboxOne,na,na,na,0.024811994
1482,Trials Rising,https://upload.wikimedia.org/wikipedia/en/thumb/5/5b/Cover_Art_of_Trials_Rising.jpg/220px-Cover_Art_of_Trials_Rising.jpg,PS4\,Switch\,XboxOne,na,na,na,0.016903595
1483,Tricky Towers,https://upload.wikimedia.org/wikipedia/en/thumb/5/51/Tricky_Towers.png/220px-Tricky_Towers.png,PS4\,XboxOne,na,na,na,na,0.006064723
1484,Trine: Enchanted Edition,https://upload.wikimedia.org/wikipedia/en/thumb/b/b2/Trine.png/220px-Trine.png,PS4\,WiiU,na,na,na,na,0.002736403
1485,Trine 2: Complete Story,https://upload.wikimedia.org/wikipedia/en/thumb/0/0b/Trine_2_cover.jpg/220px-Trine_2_cover.jpg,PS4\,Switch,na,na,na,na,0.003551502
1486,Trine 3: The Artifacts of Power,https://upload.wikimedia.org/wikipedia/en/thumb/6/69/Trine_3_logo.png/220px-Trine_3_logo.png,PS4,na,na,na,na,na,0.000921838
1487,Tropico 5,https://upload.wikimedia.org/wikipedia/en/thumb/9/99/Tropico_5_cover.jpg/250px-Tropico_5_cover.jpg,PS4\,Xbox360\,XboxOne,na,na,na,0.004415118
1488,Tropico 6,https://upload.wikimedia.org/wikipedia/en/thumb/8/8b/Tropico_6_cover.jpg/220px-Tropico_6_cover.jpg,PS4\,XboxOne,na,na,na,na,0.004075494
1489,Trover Saves the Universe,unreleased,PS4,na,na,na,na,na,0.008228616
1490,TT Isle of Man: Ride on the Edge,unreleased,PS4,na,na,na,na,na,7.76E-05
1491,Tumblestone,unreleased,PS4\,Switch\,WiiU\,XboxOne,na,na,0.001533162
1492,The Turing Test,https://upload.wikimedia.org/wikipedia/en/thumb/a/a3/Turing_test_art.jpg/220px-Turing_test_art.jpg,PS4\,XboxOne,na,na,na,na,0.007170928
1493,Twin Robots,unreleased,PS4\,WiiU,na,na,na,na,0.038396972
1494,Typoman,https://upload.wikimedia.org/wikipedia/en/thumb/9/9a/Typomanlogo.png/220px-Typomanlogo.png,PS4\,Switch\,WiiU\,XboxOne,na,na,0.000853913
1495,Ultimate Chicken Horse,https://upload.wikimedia.org/wikipedia/en/thumb/a/a7/Ultimate_Chicken_Horse_logo.jpg/220px-Ultimate_Chicken_Horse_logo.jpg,PS4\,Switch\,XboxOne,na,na,na,0.003405948
1496,Ultimate Marvel vs. Capcom 3,https://upload.wikimedia.org/wikipedia/en/thumb/6/6d/UMvC3_Cover.jpg/220px-UMvC3_Cover.jpg,PS4\,PS3\,Xbox360\,XboxOne,na,na,0.005113774
1497,Ultra Street Fighter IV,https://upload.wikimedia.org/wikipedia/en/0/06/Street_Fighter_IV_%28flyer%29.jpg,PS4\,PS3\,Xbox360,na,na,na,0.00261996
1498,Ultratron,unreleased,PS4\,PS3\,WiiU\,XboxOne,na,na,0.000203775
1499,Umbrella Corps,https://upload.wikimedia.org/wikipedia/en/thumb/1/1b/Umbrella_Corps_cover_art.jpg/220px-Umbrella_Corps_cover_art.jpg,PS4,na,na,na,na,na,0.002338557
1500,Unbox: Newbie's Adventure,unreleased,PS4\,Switch\,XboxOne,na,na,na,0.001998933
1501,Uncharted: The Nathan Drake Collection,https://upload.wikimedia.org/wikipedia/en/thumb/6/68/Uncharted_logo2.png/256px-Uncharted_logo2.png,PS4,na,na,na,na,na,0.000621028
1502,Uncharted 4: A Thief's End,https://upload.wikimedia.org/wikipedia/en/thumb/1/1a/Uncharted_4_box_artwork.jpg/220px-Uncharted_4_box_artwork.jpg,PS4,na,na,na,na,na,0.001542865
1503,Uncharted: The Lost Legacy,https://upload.wikimedia.org/wikipedia/en/thumb/d/d0/Uncharted_The_Lost_Legacy_box_artwork.jpg/220px-Uncharted_The_Lost_Legacy_box_artwork.jpg,PS4,na,na,na,na,na,0.012779584
1504,Uncharted Waters Online: Gran Atlas,https://upload.wikimedia.org/wikipedia/en/3/3e/UnchartedWatersOnlineCover.jpg,PS4,na,na,na,na,na,0
1505,Under Night In-Birth Exe:Late[st],unreleased,PS4,na,na,na,na,na,0
1506,Undertale,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cd/Undertale_vector_logo_on_black_borders.svg/220px-Undertale_vector_logo_on_black_borders.svg.png,PS4\,Switch,na,na,na,na,0.043277861
1507,Unepic,https://upload.wikimedia.org/wikipedia/en/thumb/9/92/Unepic_cover.jpg/220px-Unepic_cover.jpg,PS4\,Switch\,WiiU\,XboxOne,na,na,0.024588812
1508,The Unfinished Swan,https://upload.wikimedia.org/wikipedia/en/thumb/2/2c/The_Unfinished_Swan_logo.png/220px-The_Unfinished_Swan_logo.png,PS4\,PS3,na,na,na,na,0.009596817
1509,Unholy Heights,unreleased,PS4\,Switch,na,na,na,na,0.000718063
1510,Unmechanical: Extended,https://upload.wikimedia.org/wikipedia/en/thumb/6/69/Unmechanicallogo.jpg/220px-Unmechanicallogo.jpg,PS4,na,na,na,na,na,0.001290573
1511,Uno,https://upload.wikimedia.org/wikipedia/en/f/f1/Cboxuno.jpg,PS4\,PS3\,Xbox360\,XboxOne,na,na,0.016204939
1512,Unravel,https://upload.wikimedia.org/wikipedia/en/thumb/6/6a/Unravel_cover_art.jpg/220px-Unravel_cover_art.jpg,PS4\,XboxOne,na,na,na,na,0.013788754
1513,Unravel Two,https://upload.wikimedia.org/wikipedia/en/f/f0/Unravel_2_cover_art.jpg,PS4\,Switch\,XboxOne,na,na,na,0.014933773
1514,Until Dawn,https://upload.wikimedia.org/wikipedia/en/thumb/d/d7/Until_Dawn_cover_art.jpg/220px-Until_Dawn_cover_art.jpg,PS4,na,na,na,na,na,0.046606181
1515,Unto The End,unreleased,PS4\,XboxOne,na,na,na,na,0.023172093
1516,unWorded,unreleased,PS4,na,na,na,na,na,0.01219737
1517,Urban Legend in Limbo,https://upload.wikimedia.org/wikipedia/en/thumb/3/39/Urban_Legend_in_Limbo_cover.jpg/220px-Urban_Legend_in_Limbo_cover.jpg,PS4,na,na,na,na,na,2.91E-05
1518,Valentino Rossi: The Game,https://upload.wikimedia.org/wikipedia/en/thumb/9/97/Valentino_Rossi_The_Game.jpg/220px-Valentino_Rossi_The_Game.jpg,PS4\,XboxOne,na,na,na,na,0
1519,Valhalla Hills: Definitive Edition,unreleased,PS4\,XboxOne,na,na,na,na,0.001969822
1520,Valiant Hearts: The Great War,https://upload.wikimedia.org/wikipedia/en/thumb/e/ea/Valiant_Hearts_The_Great_War.jpg/220px-Valiant_Hearts_The_Great_War.jpg,PS4\,PS3\,Switch\,Xbox360\,XboxOne,na,0.00376498
1521,Valkyria Chronicles 4,https://upload.wikimedia.org/wikipedia/en/thumb/6/69/Valkyria_Chronicles_4.png/220px-Valkyria_Chronicles_4.png,PS4\,Switch\,XboxOne,na,na,na,0.005928873
1522,Valkyria Chronicles Remastered,https://upload.wikimedia.org/wikipedia/en/thumb/a/a2/Valkyria_cover.jpg/220px-Valkyria_cover.jpg,PS4,na,na,na,na,na,0.004026976
1523,Valkyria Revolution,https://upload.wikimedia.org/wikipedia/en/thumb/7/73/Valkyria_Azure_Revolution.png/220px-Valkyria_Azure_Revolution.png,PS4\,XboxOne,na,na,na,na,0.001484644
1524,Valley,https://upload.wikimedia.org/wikipedia/en/thumb/3/3e/Valley_cover.jpg/220px-Valley_cover.jpg,PS4\,Switch\,XboxOne,na,na,na,0.007015671
1525,Vampyr,https://upload.wikimedia.org/wikipedia/en/thumb/b/b3/Vampyr_cover.jpg/220px-Vampyr_cover.jpg,PS4\,Switch\,XboxOne,na,na,na,0.017631362
1526,The Vanishing of Ethan Carter,https://upload.wikimedia.org/wikipedia/en/thumb/9/98/The_Vanishing_of_Ethan_Carter.jpg/220px-The_Vanishing_of_Ethan_Carter.jpg,PS4\,XboxOne,na,na,na,na,0.003619427
1527,Vasara HD Collection,unreleased,PS4\,Switch\,XboxOne,na,na,na,0
1528,Vector,unreleased,PS4,na,na,na,na,na,0.011605453
1529,Vector 36,unreleased,PS4,na,na,na,na,na,0.004609189
1530,Velocity 2X,https://upload.wikimedia.org/wikipedia/en/thumb/3/3f/Velocity-2x_cover.jpg/220px-Velocity-2x_cover.jpg,PS4\,Switch\,XboxOne,na,na,na,0.003163359
1531,Verdun,https://upload.wikimedia.org/wikipedia/en/thumb/4/4d/Verdun_%28video_game%29.jpg/220px-Verdun_%28video_game%29.jpg,PS4\,XboxOne,na,na,na,na,0.00695745
1532,VEV: Viva Ex Vivo,unreleased,PS4,na,na,na,na,na,0
1533,Victor Vran,https://upload.wikimedia.org/wikipedia/en/thumb/2/23/Victor_Vran_logo.jpg/220px-Victor_Vran_logo.jpg,PS4\,Switch\,XboxOne,na,na,na,0.003978458
1534,Videoball,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9b/Videoball_logo.png/220px-Videoball_logo.png,PS4\,XboxOne,na,na,na,na,0
1535,Viking Squad,unreleased,PS4,na,na,na,na,na,0.028479938
1536,Virginia,https://upload.wikimedia.org/wikipedia/en/thumb/f/f8/Virginia_Key_Art.jpg/220px-Virginia_Key_Art.jpg,PS4\,XboxOne,na,na,na,na,0.019213042
1537,Visage,unreleased,PS4,na,na,na,na,na,0.020396875
1538,VizionEck,unreleased,PS4,na,na,na,na,na,1.94E-05
1539,The Voice,unreleased,PS4\,XboxOne,na,na,na,na,0.004667411
1540,Volgarr the Viking,https://upload.wikimedia.org/wikipedia/en/thumb/7/78/Volgarr_the_Viking_logo.png/220px-Volgarr_the_Viking_logo.png,PS4\,Switch\,WiiU\,XboxOne,na,na,0.001096502
1541,Volume,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2d/Volume_video_game_logo.png/220px-Volume_video_game_logo.png,PS4,na,na,na,na,na,0.001436126
1542,V-Rally 4,https://upload.wikimedia.org/wikipedia/en/thumb/7/7f/V-Rally_4.jpg/220px-V-Rally_4.jpg,PS4\,Switch\,XboxOne,na,na,na,0.000834506
1543,VVVVVV,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e9/VVVVVV_logo.svg/220px-VVVVVV_logo.svg.png,PS4\,Switch,na,na,na,na,0.007287371
1544,The Walking Dead: Michonne,https://upload.wikimedia.org/wikipedia/en/thumb/f/f3/TWD-game-cover.jpg/220px-TWD-game-cover.jpg,PS4\,PS3\,XboxOne,na,na,na,0.00349328
1545,The Walking Dead: Season One,https://upload.wikimedia.org/wikipedia/en/thumb/f/f3/TWD-game-cover.jpg/220px-TWD-game-cover.jpg,PS4\,XboxOne,na,na,na,na,0.017000631
1546,The Walking Dead: Season Two,https://upload.wikimedia.org/wikipedia/en/thumb/0/09/The_walking_dead_video_game_season_two_promo.jpg/220px-The_walking_dead_video_game_season_two_promo.jpg,PS4\,PS3\,Switch\,Xbox360\,XboxOne,na,0.01767988
1547,The Walking Dead: Season Three,https://upload.wikimedia.org/wikipedia/en/thumb/7/7b/The_Walking_Dead_A_New_Frontier_cover_art.jpg/220px-The_Walking_Dead_A_New_Frontier_cover_art.jpg,PS4,na,na,na,na,na,0.044636359
1548,The Walking Dead: The Final Season,https://upload.wikimedia.org/wikipedia/en/thumb/f/f5/The_Walking_Dead_The_Final_Season.png/220px-The_Walking_Dead_The_Final_Season.png,PS4\,Switch\,XboxOne,na,na,na,0.004434525
1549,Wandersong,https://upload.wikimedia.org/wikipedia/en/thumb/6/64/Wandersong.jpg/220px-Wandersong.jpg,PS4\,Switch,na,na,na,na,0.005288438
1550,Wand Wars,unreleased,PS4\,XboxOne,na,na,na,na,0.013439426
1551,Wargroove,https://upload.wikimedia.org/wikipedia/en/thumb/5/50/WarGroove_logo.jpg/220px-WarGroove_logo.jpg,PS4\,Switch\,XboxOne,na,na,na,0.019048081
1552,Warhammer: End Times – Vermintide,https://upload.wikimedia.org/wikipedia/en/thumb/7/75/Vermintide.jpg/220px-Vermintide.jpg,PS4\,XboxOne,na,na,na,na,0.001164427
1553,Warhammer: Vermintide 2,https://upload.wikimedia.org/wikipedia/en/thumb/d/de/Vermintide_2_cover_art.jpg/220px-Vermintide_2_cover_art.jpg,PS4\,XboxOne,na,na,na,na,0.00289166
1554,Warriors All-Stars,https://upload.wikimedia.org/wikipedia/en/thumb/f/fd/WarriorsAllStars.jpg/220px-WarriorsAllStars.jpg,PS4,na,na,na,na,na,0.031914997
1555,Warriors Orochi 3 Ultimate,https://upload.wikimedia.org/wikipedia/en/8/85/WarriorsOrochi3.jpg,PS4\,Switch\,XboxOne,na,na,na,0.000194071
1556,Warriors Orochi 4,https://upload.wikimedia.org/wikipedia/en/thumb/0/00/Warriors_Orochi_4.png/220px-Warriors_Orochi_4.png,PS4\,Switch\,XboxOne,na,na,na,0.004667411
1557,Wartile,unreleased,PS4,na,na,na,na,na,9.70E-06
1558,Wasteland 2: Director's Cut,https://upload.wikimedia.org/wikipedia/en/thumb/7/7e/Wasteland2art.jpg/220px-Wasteland2art.jpg,PS4\,Switch,na,na,na,na,0.001523458
1559,Wasteland 3,https://upload.wikimedia.org/wikipedia/commons/thumb/5/51/Wasteland_3_Logo_2017.png/220px-Wasteland_3_Logo_2017.png,PS4,na,na,na,na,na,0.024258891
1560,Watch Dogs,https://upload.wikimedia.org/wikipedia/en/thumb/d/d9/Watch_Dogs_box_art.jpg/220px-Watch_Dogs_box_art.jpg,PS4\,PS3\,WiiU\,Xbox360\,XboxOne,na,0.016496046
1561,Watch Dogs 2,https://upload.wikimedia.org/wikipedia/en/thumb/b/b0/Watch_Dogs_2.jpg/220px-Watch_Dogs_2.jpg,PS4\,XboxOne,na,na,na,na,0.017398477
1562,Wattam,https://upload.wikimedia.org/wikipedia/en/thumb/1/19/Wattam_Header.jpg/220px-Wattam_Header.jpg,PS4,na,na,na,na,na,0.003153656
1563,Way of Redemption,unreleased,PS4,na,na,na,na,na,0.037659502
1564,We Happy Few,https://upload.wikimedia.org/wikipedia/en/thumb/7/76/WeHappyFew.jpg/220px-WeHappyFew.jpg,PS4\,XboxOne,na,na,na,na,0.00319247
1565,What Remains of Edith Finch,https://upload.wikimedia.org/wikipedia/en/thumb/7/7c/What_Remains_of_Edith_Finch.png/220px-What_Remains_of_Edith_Finch.png,PS4\,XboxOne,na,na,na,na,0.037737131
1566,Wheels of Aurelia,https://upload.wikimedia.org/wikipedia/en/thumb/f/f8/Wheels_of_Aurelia_Logo.jpg/220px-Wheels_of_Aurelia_Logo.jpg,PS4\,Switch\,XboxOne,na,na,na,0.002833438
1567,Whispering Willows,unreleased,PS4\,Switch\,WiiU\,XboxOne,na,na,0.003318616
1568,White Day: A Labyrinth Named School,https://upload.wikimedia.org/wikipedia/en/c/cb/WhiteDay.jpg,PS4,na,na,na,na,na,0.003435059
1569,White Noise 2,unreleased,PS4\,XboxOne,na,na,na,na,0.044927466
1570,Wild,https://upload.wikimedia.org/wikipedia/en/thumb/0/0c/Wild_video_game_logo.jpg/220px-Wild_video_game_logo.jpg,PS4,na,na,na,na,na,0.00668575
1571,The Wild Eight,https://upload.wikimedia.org/wikipedia/en/thumb/6/6c/The_wild_eight.jpg/220px-The_wild_eight.jpg,PS4,na,na,na,na,na,0.05773616
1572,Wild Guns Reloaded,https://upload.wikimedia.org/wikipedia/en/thumb/8/89/SNES_Wild_Guns_cover_art.png/220px-SNES_Wild_Guns_cover_art.png,PS4\,Switch,na,na,na,na,0.002231818
